,video,method,cond,jitter
0,BrownHorseinShadow,Kalman filter,after_adapt,4.430996108493599
1,BrownHorseinShadow,Kalman filter,before_adapt,3.9452280659660084
4,BrownHorseinShadow,Self-pacing,after_adapt,3.467757267836412
5,BrownHorseinShadow,Self-pacing,before_adapt,3.9452280659660084
6,BrownHorseinShadow,Video adaptation,after_adapt,3.6150649186343515
7,BrownHorseinShadow,Video adaptation,before_adapt,3.9452280659660084
10,BrownHorseintoshadow,Kalman filter,after_adapt,3.8306133608253794
11,BrownHorseintoshadow,Kalman filter,before_adapt,3.6259840719130976
14,BrownHorseintoshadow,Self-pacing,after_adapt,2.8886146601426943
15,BrownHorseintoshadow,Self-pacing,before_adapt,3.6259840719130976
16,BrownHorseintoshadow,Video adaptation,after_adapt,2.9052825340734505
17,BrownHorseintoshadow,Video adaptation,before_adapt,3.6259840719130976
20,Brownhorselight,Kalman filter,after_adapt,3.341125914182142
21,Brownhorselight,Kalman filter,before_adapt,3.3091581513541124
24,Brownhorselight,Self-pacing,after_adapt,2.971751626258341
25,Brownhorselight,Self-pacing,before_adapt,3.3091581513541124
26,Brownhorselight,Video adaptation,after_adapt,2.8897044157523006
27,Brownhorselight,Video adaptation,before_adapt,3.3091581513541124
30,Brownhorseoutofshadow,Kalman filter,after_adapt,2.607878851041787
31,Brownhorseoutofshadow,Kalman filter,before_adapt,2.727797366934666
34,Brownhorseoutofshadow,Self-pacing,after_adapt,2.165898917488736
35,Brownhorseoutofshadow,Self-pacing,before_adapt,2.727797366934666
36,Brownhorseoutofshadow,Video adaptation,after_adapt,2.364998851138435
37,Brownhorseoutofshadow,Video adaptation,before_adapt,2.727797366934666
40,ChestnutHorseLight,Kalman filter,after_adapt,9.517915519612792
41,ChestnutHorseLight,Kalman filter,before_adapt,9.032574168767791
44,ChestnutHorseLight,Self-pacing,after_adapt,8.387171875595053
45,ChestnutHorseLight,Self-pacing,before_adapt,9.032574168767791
46,ChestnutHorseLight,Video adaptation,after_adapt,8.67726598916184
47,ChestnutHorseLight,Video adaptation,before_adapt,9.032574168767791
50,Chestnuthorseongrass,Kalman filter,after_adapt,2.351599808051673
51,Chestnuthorseongrass,Kalman filter,before_adapt,2.0737469737882606
54,Chestnuthorseongrass,Self-pacing,after_adapt,1.5198139200016056
55,Chestnuthorseongrass,Self-pacing,before_adapt,2.0737469737882606
56,Chestnuthorseongrass,Video adaptation,after_adapt,1.5639431050583532
57,Chestnuthorseongrass,Video adaptation,before_adapt,2.0737469737882606
60,GreyHorseLightandShadow,Kalman filter,after_adapt,5.49182877402209
61,GreyHorseLightandShadow,Kalman filter,before_adapt,4.143017033345877
64,GreyHorseLightandShadow,Self-pacing,after_adapt,3.915843831158366
65,GreyHorseLightandShadow,Self-pacing,before_adapt,4.143017033345877
66,GreyHorseLightandShadow,Video adaptation,after_adapt,3.5858518676685613
67,GreyHorseLightandShadow,Video adaptation,before_adapt,4.143017033345877
70,GreyHorseNoShadowBadLight,Kalman filter,after_adapt,5.436149356627467
71,GreyHorseNoShadowBadLight,Kalman filter,before_adapt,5.1417610408165775
74,GreyHorseNoShadowBadLight,Self-pacing,after_adapt,5.081047599275161
75,GreyHorseNoShadowBadLight,Self-pacing,before_adapt,5.1417610408165775
76,GreyHorseNoShadowBadLight,Video adaptation,after_adapt,5.096315506511914
77,GreyHorseNoShadowBadLight,Video adaptation,before_adapt,5.1417610408165775
80,Sample1,Kalman filter,after_adapt,3.252850781197101
81,Sample1,Kalman filter,before_adapt,3.5251000627541016
84,Sample1,Self-pacing,after_adapt,3.2583457505431483
85,Sample1,Self-pacing,before_adapt,3.5251000627541016
86,Sample1,Video adaptation,after_adapt,3.4541948547837498
87,Sample1,Video adaptation,before_adapt,3.5251000627541016
90,Sample10,Kalman filter,after_adapt,5.18472360122182
91,Sample10,Kalman filter,before_adapt,5.202642325289466
94,Sample10,Self-pacing,after_adapt,4.892534303330133
95,Sample10,Self-pacing,before_adapt,5.202642325289466
96,Sample10,Video adaptation,after_adapt,5.510977762635509
97,Sample10,Video adaptation,before_adapt,5.202642325289466
100,Sample11,Kalman filter,after_adapt,5.1269211330277304
101,Sample11,Kalman filter,before_adapt,4.574912585320103
104,Sample11,Self-pacing,after_adapt,4.419817780795774
105,Sample11,Self-pacing,before_adapt,4.574912585320103
106,Sample11,Video adaptation,after_adapt,4.006390764611657
107,Sample11,Video adaptation,before_adapt,4.574912585320103
110,Sample12,Kalman filter,after_adapt,6.253663509929179
111,Sample12,Kalman filter,before_adapt,5.5864213382166
114,Sample12,Self-pacing,after_adapt,5.265934934609675
115,Sample12,Self-pacing,before_adapt,5.5864213382166
116,Sample12,Video adaptation,after_adapt,4.838239997665232
117,Sample12,Video adaptation,before_adapt,5.5864213382166
120,Sample13,Kalman filter,after_adapt,4.038236120262192
121,Sample13,Kalman filter,before_adapt,5.020409652285916
124,Sample13,Self-pacing,after_adapt,4.79141028255279
125,Sample13,Self-pacing,before_adapt,5.020409652285916
126,Sample13,Video adaptation,after_adapt,4.307906130770802
127,Sample13,Video adaptation,before_adapt,5.020409652285916
130,Sample14,Kalman filter,after_adapt,3.5221007202353465
131,Sample14,Kalman filter,before_adapt,4.085208336146041
134,Sample14,Self-pacing,after_adapt,4.753464643908944
135,Sample14,Self-pacing,before_adapt,4.085208336146041
136,Sample14,Video adaptation,after_adapt,3.9973865123670995
137,Sample14,Video adaptation,before_adapt,4.085208336146041
140,Sample15,Kalman filter,after_adapt,3.0648623906513004
141,Sample15,Kalman filter,before_adapt,3.572842751977394
144,Sample15,Self-pacing,after_adapt,4.1038348427488875
145,Sample15,Self-pacing,before_adapt,3.572842751977394
146,Sample15,Video adaptation,after_adapt,3.887610898138223
147,Sample15,Video adaptation,before_adapt,3.572842751977394
150,Sample16,Kalman filter,after_adapt,1.901744243935321
151,Sample16,Kalman filter,before_adapt,1.7898637682933984
154,Sample16,Self-pacing,after_adapt,1.5518901677115322
155,Sample16,Self-pacing,before_adapt,1.7898637682933984
156,Sample16,Video adaptation,after_adapt,1.4397288368750967
157,Sample16,Video adaptation,before_adapt,1.7898637682933984
160,Sample17,Kalman filter,after_adapt,2.5909724649987482
161,Sample17,Kalman filter,before_adapt,2.452796626099788
164,Sample17,Self-pacing,after_adapt,2.338035838216839
165,Sample17,Self-pacing,before_adapt,2.452796626099788
166,Sample17,Video adaptation,after_adapt,1.885163216157407
167,Sample17,Video adaptation,before_adapt,2.452796626099788
170,Sample18,Kalman filter,after_adapt,3.316187194295027
171,Sample18,Kalman filter,before_adapt,3.7436896240069046
174,Sample18,Self-pacing,after_adapt,4.362294918364401
175,Sample18,Self-pacing,before_adapt,3.7436896240069046
176,Sample18,Video adaptation,after_adapt,3.5134100282164766
177,Sample18,Video adaptation,before_adapt,3.7436896240069046
180,Sample19,Kalman filter,after_adapt,2.1182180841419176
181,Sample19,Kalman filter,before_adapt,1.5086695464606898
184,Sample19,Self-pacing,after_adapt,1.7425870942482526
185,Sample19,Self-pacing,before_adapt,1.5086695464606898
186,Sample19,Video adaptation,after_adapt,1.6818090099647882
187,Sample19,Video adaptation,before_adapt,1.5086695464606898
190,Sample2,Kalman filter,after_adapt,3.273805644784202
191,Sample2,Kalman filter,before_adapt,3.2596582061078276
194,Sample2,Self-pacing,after_adapt,3.2942083399618536
195,Sample2,Self-pacing,before_adapt,3.2596582061078276
196,Sample2,Video adaptation,after_adapt,2.7791996370053487
197,Sample2,Video adaptation,before_adapt,3.2596582061078276
200,Sample20,Kalman filter,after_adapt,3.2711260940252056
201,Sample20,Kalman filter,before_adapt,3.8159968234534833
204,Sample20,Self-pacing,after_adapt,4.576485614642099
205,Sample20,Self-pacing,before_adapt,3.8159968234534833
206,Sample20,Video adaptation,after_adapt,4.679757211070085
207,Sample20,Video adaptation,before_adapt,3.8159968234534833
210,Sample3,Kalman filter,after_adapt,2.9937297114388444
211,Sample3,Kalman filter,before_adapt,3.0246592794373353
214,Sample3,Self-pacing,after_adapt,2.576447202729481
215,Sample3,Self-pacing,before_adapt,3.0246592794373353
216,Sample3,Video adaptation,after_adapt,2.3962150139530505
217,Sample3,Video adaptation,before_adapt,3.0246592794373353
220,Sample4,Kalman filter,after_adapt,4.75477830916145
221,Sample4,Kalman filter,before_adapt,4.666527108251975
224,Sample4,Self-pacing,after_adapt,4.432593152801808
225,Sample4,Self-pacing,before_adapt,4.666527108251975
226,Sample4,Video adaptation,after_adapt,4.167863750102957
227,Sample4,Video adaptation,before_adapt,4.666527108251975
230,Sample5,Kalman filter,after_adapt,5.841518400875977
231,Sample5,Kalman filter,before_adapt,5.356177354783721
234,Sample5,Self-pacing,after_adapt,4.523478868724069
235,Sample5,Self-pacing,before_adapt,5.356177354783721
236,Sample5,Video adaptation,after_adapt,4.400548899864846
237,Sample5,Video adaptation,before_adapt,5.356177354783721
240,Sample6,Kalman filter,after_adapt,2.1135745577051295
241,Sample6,Kalman filter,before_adapt,2.116708407453118
244,Sample6,Self-pacing,after_adapt,1.7991806697425414
245,Sample6,Self-pacing,before_adapt,2.116708407453118
246,Sample6,Video adaptation,after_adapt,2.0672658745115227
247,Sample6,Video adaptation,before_adapt,2.116708407453118
250,Sample7,Kalman filter,after_adapt,5.736124265006853
251,Sample7,Kalman filter,before_adapt,5.654494480845584
254,Sample7,Self-pacing,after_adapt,5.149669331345007
255,Sample7,Self-pacing,before_adapt,5.654494480845584
256,Sample7,Video adaptation,after_adapt,4.543691195660362
257,Sample7,Video adaptation,before_adapt,5.654494480845584
260,Sample8,Kalman filter,after_adapt,4.446728014753004
261,Sample8,Kalman filter,before_adapt,3.45734886857394
264,Sample8,Self-pacing,after_adapt,3.431246619676701
265,Sample8,Self-pacing,before_adapt,3.45734886857394
266,Sample8,Video adaptation,after_adapt,3.3716085229588972
267,Sample8,Video adaptation,before_adapt,3.45734886857394
270,Sample9,Kalman filter,after_adapt,2.6095823995062144
271,Sample9,Kalman filter,before_adapt,2.553013198919017
274,Sample9,Self-pacing,after_adapt,2.3993352155064387
275,Sample9,Self-pacing,before_adapt,2.553013198919017
276,Sample9,Video adaptation,after_adapt,1.834568576279721
277,Sample9,Video adaptation,before_adapt,2.553013198919017
280,TwoHorsesinvideobothmoving,Kalman filter,after_adapt,1.7200034859860873
281,TwoHorsesinvideobothmoving,Kalman filter,before_adapt,2.075208194289521
284,TwoHorsesinvideobothmoving,Self-pacing,after_adapt,1.0025131561573821
285,TwoHorsesinvideobothmoving,Self-pacing,before_adapt,2.075208194289521
286,TwoHorsesinvideobothmoving,Video adaptation,after_adapt,0.8971202054680433
287,TwoHorsesinvideobothmoving,Video adaptation,before_adapt,2.075208194289521
290,Twohorsesinvideoonemoving,Kalman filter,after_adapt,4.353828393818215
291,Twohorsesinvideoonemoving,Kalman filter,before_adapt,4.873696403223294
294,Twohorsesinvideoonemoving,Self-pacing,after_adapt,3.387029329818959
295,Twohorsesinvideoonemoving,Self-pacing,before_adapt,4.873696403223294
296,Twohorsesinvideoonemoving,Video adaptation,after_adapt,3.9001674176812235
297,Twohorsesinvideoonemoving,Video adaptation,before_adapt,4.873696403223294
